Mode combination,Optimal Node Id,Reward
"(0,)",[1772 2023 2109 2191 2360],1.1340411757648103
"(1,)",[1663 1939 2192 2443 2611],1.1478929855584956
"(2,)",[  84 1693 2869 3026 3028],3.812591429534031
"(3,)",[1657 1662 1664 2191 2443],1.1892742826499552
"(4,)",[   9 1767 2943 2951 2953],3.729404773008301
"(0, 1)",[1771 1940 2227 2394 2396],1.2426906498650618
"(1, 2)",[1688 1773 1855 2780 2866],3.5457205676537673
"(2, 3)",[1687 1772 2696 2781 2863],3.4720591209582685
"(3, 4)",[1745 1747 1749 2922 2924],1.3513950183631365
"(0, 1, 2)",[1687 1722 1773 2780 2866],4.666560228475866
"(1, 2, 3)",[1689 1772 2695 2780 2921],4.724897476315033
"(2, 3, 4)",[1692 1744 1747 2868 2921],3.905513687874828
"(0, 1, 2, 3)",[1688 1713 1908 2864 2888],16.361524994321076
"(1, 2, 3, 4)",[1692 1745 1775 2867 2921],4.323229720368495
"(0, 1, 2, 3, 4)",[1691 1747 2783 2806 2923],6.962692467362862

Level dict: {(1,): 0, (2,): 1, (4,): 2, (1, 2): 3, (3, 4): 4, (0, 1, 2): 5, (0, 1, 2, 3, 4): 6}